date,ticker,link,signal,size
2020-05-26 20:15:00+00,FCF.V,http://www.globenewswire.com/news-release/2020/05/26/2038935/0/en/Founders-Advantage-Releases-Q1-2020-Results-DLC-Reports-Record-Q1-Funded-Volumes-and-Adjusted-EBITDA.html,0.5994,0.013072654
2020-05-26 20:05:00+00,STNE.OQ,http://www.globenewswire.com/news-release/2020/05/26/2038925/0/en/StoneCo-Reports-First-Quarter-2020-Financial-Results.html,0.5719,0.013390476
2020-05-26 20:05:00+00,UEPS.OQ,http://www.globenewswire.com/news-release/2020/05/26/2038919/0/en/Net-1-Reports-Third-Quarter-2020-Results.html,0,0.001381666
2020-05-26 18:50:00+00,MMMM.PK,http://www.globenewswire.com/news-release/2020/05/26/2038889/0/en/Quad-M-Solutions-Inc-OTC-MMMM-Reports-Record-Quarterly-Revenues-of-Approximately-5-0-million-for-the-second-quarter-ended-March-31-2020.html,0.9549,0.015643775
2020-05-26 17:59:00+00,TLND.OQ,http://www.globenewswire.com/news-release/2020/05/26/2038877/0/en/Capital-Market-Laboratories-CMLviz-Interviews-Talend-TLND-CEO-and-CFO-managing-quality-of-data-is-a-market-set-to-explode.html,0.3818,0.014561591
2020-05-26 17:48:00+00,DKNG.OQ,http://www.globenewswire.com/news-release/2020/05/26/2038870/0/en/DraftKings-Announces-Jason-Robins-Participation-in-Upcoming-Virtual-Investor-Conferences.html,0,0.001285376
2020-05-26 17:47:00+00,QMCI.PK,http://www.globenewswire.com/news-release/2020/05/26/2038869/0/en/QuoteMedia-Launches-New-Wealth-Management-Module.html,0.7269,0.00470177
2020-05-26 17:47:00+00,X105.DE,http://www.globenewswire.com/news-release/2020/05/26/2038869/0/en/QuoteMedia-Launches-New-Wealth-Management-Module.html,0.7269,0.016389004
2020-05-26 17:24:00+00,NTU1L.VL,http://www.globenewswire.com/news-release/2020/05/26/2038859/0/en/Novaturas-in-Latvia-has-agreed-on-EUR-1-mln-liquidity-loan.html,0.765,0.01353865
2020-05-26 17:20:00+00,PRIM.OQ,http://www.globenewswire.com/news-release/2020/05/26/2038857/0/en/Primoris-Services-Corporation-to-Participate-in-Several-Investor-Conferences-in-May-and-June.html,0,0.00350178
2020-05-26 17:17:00+00,PWOD.OQ,http://www.globenewswire.com/news-release/2020/05/26/2038856/0/en/Penns-Woods-Bancorp-Inc-Announces-Quarterly-Dividend.html,0.5423,0.009005365
2020-05-26 17:00:00+00,6943.T,http://www.globenewswire.com/news-release/2020/05/26/2038846/0/en/Hirokuni-Hibi-Named-President-of-NKK-Switches-of-America.html,0.8176,0.002843763
2020-05-26 16:22:00+00,EFOI.OQ,http://www.globenewswire.com/news-release/2020/05/26/2038828/0/en/Energy-Focus-Inc-Presents-at-Little-Grapevine-s-G1-Microcap-Virtual-Conference.html,0.6124,0.015663234
